He is highly paid. or He draws a big salary.	그는 고급을 받는다
He is a highly educated man.	그는 교육을 충분히 받았다
A Study on Value Increment by Construction of Underground Passageways to Subway Stations	지하공간 연결통로설치에 따른 증분가치산정 연구
A Study on the Application of Tax Increment Financing to UrbanRedevelopment Projects	TIF(조세담보금융)의 도심 재개발 사업 적용 연구
A Study on the Improvement of a Cooling System by the Increment of Room Humidity without Reheating Process	실내 습도 증가를 이용한 무재열 냉방시스템 개선에 관한 연구
There's a time lag of half an hour.	30분의 시차가 있습니다
I bet I'll have jet lag for a week.	난 일주일간 시차 피로가 있을거야.
Hope the jet lag doesn't bother you too much.	시차가 당신을 너무 많이 괴롭히지 않았으면 해요.
He is on the managerial side.	그는 간부(幹部)이다.
Does she have any managerial experience?	그녀가 경영 경험이 있습니까?
The real problem is at managerial level.	진짜 문제는 관리 수준에 있다.
That hat doesn't match[go very well with] the dress.	그 옷에 그 모자는 이상하다
The match ended in a victory for our opponents.	시합은 우리 상대편의 승리로 끝났다.
The U.S. hopes to match that within 20 years.	미국은 20년 이내에 그에 상응하기를 기대하고 있습니다.
We can meet at your convenience any time next week.	다음 주 아무 때나 편하신때에 만나면 됩니다.
I wish I could meet more people.	난 더 많은 사람들을 만나고 싶어.
We meet five years this week.	우린 이번주로 5년을 만나.
Shares stand now at a minimum.	주가(株價)가 지금 최저 가격을 보이고 있다.
Bringing home the groceries with a minimum amount of money.	최소한의 금액으로 생활에 필요한 것을 갖추다.
Prospect period ends minimum one year today.	오늘날 전망 분기는 최소 1년으로 끝난다.
The enemy's occupation of the city lasted a year.	적군은 도시를 1년간 점령했다.
Do you specific perspective or view on occupation?	당신의 직업관은 무엇입니까?
Men out of occupation ratio is almost 10%.	실업자비율이 거의 10%다.
Many local markets are no longer opening.	대부분의 현지 시장들을 더 이상 문을 열지 못하고 있습니다.
Opening a coffee shop in Moscow isnât cheap.	모스크바에서 커피 전문점을 여는 것은 경제적으로 만만치 않은 일입니다.
Help us celebrate the Grand Opening of our 100th store!	100번째 개점을 함께 축하해 주십시오!
We hoped his behavior would be otherwise.	그가 그런 행동을 하지 않으면 좋겠다고 우리는 생각했다.
Start at once, otherwise you will be late.	곧 떠나지 않으면 늦는다.
Otherwise, I don't need you here.	그렇지 않으면, 당신은 이곳에 필요하지 않아요.
She lays away part of her paycheck each month.	그 여자는 매달 봉급의 일부를 저축한다.
I live from paycheck to paycheck.	저는 그날 벌어 그날 쓰기 바쁘게 살아요.
How was your paycheck this time?	이번에는 급료가 어땠나요?
Who's handling the payroll these days?	요즘엔 급여 담당이 누구예요?
Sharon in payroll handles that sort of thing.	경리부 샤론이 그런 일을 담당해요.
My family owns a payroll company.	우리 가족은 급여 회사를 소유하고 있다.
The pension was her only support.	연금이 그녀의 유일한 생활비이다.
The teacher lived on his pension after his retirement.	그 교사는 퇴직한 후에 연금으로 생활했다.
Dom, I'm serious about that pension, man.	돔, 나는 그 연금에 관해서 심각해, 친구.
He was accepted in the program on a probationary basis.	그는 수습으로 그 프로그램에 참여했다.
All entrants then serve a probationary period of one year.	모든 신입은 1년의 수습 기간을 거친다.
Until you do, you are only a 'probationary' citizen.	당신이 할 때까지, 당신은 오직 '집행 유예'시민입니다.
I wanted to look more professional.	나는 더 전문적으로 보이길 원해
This man is a professional assassin.	이 남자는 전문 암살자이다.
Don't worry, I am a TV professional.	걱정마, 나 TV 전문가야.
They also have only a limited proficiency in English.	그들은 또 영어 구사 능력도 많이 딸린다.
He reached a reasonable level of proficiency in his English.	그는 영어에 관한 상당한 능력의 수준에 도달했다
Work will be easier when you attain proficiency.	숙달되면 일이 더 쉬울 것이다.
I hear you were formally introduced to a prospective wife.	네가 맞선을 보았다는 소문이 있는데
We asked our readers how they find prospective employees.	저희는 독자들을 대상으로 신입 사원들을 어떻게 구하는지 물었습니다.
It's not the way a prospective captain acts.	그것은 예상선장의 올바른 행동이 아니다.
You are qualified as a manager.	당신은 팀장 자격이 있어요.
I wouldn't have qualified as transgender.	저는 아무래도 트렌스젠더로 자격이 없는 듯 해요
Unfortunately, I'm not qualified for this sort of thing.	불행하게도, 나는 이런 종류의 일에 자질이 없습니다.
The new company recruit was lazy.	한 회사에 게으른 신입사원이 있었다.
Just one last member to recruit.	마지막 한 회원을 모집합니다.
Do not talk to me if a recruit.	입대 문의라면 말 걸지 마세요.
Reference was made to the event in the Times.	타임지는 그 사건에 관하여 논급하였다
Reference books are in the 3rd floor reading room.	참고 문헌은 3층 열람실에 있습니다.
We want that reference to remain.	우리는 그 참고 자료가 남아있길 바란다.
Order whatever you want regardless of expense.	비용을 생각하지 말고 원하는 것을 무엇이든 주문하여라.
You can do it regardless of age.	나이에 관계없이 할 수 있다
The boy played it smart regardless of threats.	위협에도 불구하고 그는 똑똑하게 행동했다.
What is one requirement for the job?	이 직책에 필요한 요건 중 하나는?
I do not deny that there is a legal requirement.	난 거기 그곳에 법적인 요건들이 있다는 것을 부정하지 않았다
I thought that was a job requirement for you people.	난 그것이 당신들을 위한 자격 요건이라고 생각했다
So I had a pretty impressive resume.	그래서 나는 상당히 인상적인 이력서를 썼다
I don't want to resume it.	나는 그것을 다시하기 싫어.
If you have a resume there, I'm not interested.	네가 이력서를 가지고 있어도, 나는 별로 흥미 없어.
She breaks a lance for a wage increase.	그녀는 임금인상을 찬성하고 나선다.
I think countries that wage war have failed at diplomacy.	전쟁을 도발하는 국가들은 외교에서 실패했다고 생각해요.
The labor union negotiated a wage increase.	노조는 임금인상을 타결했다.
it's time for us to abolish capital punishment.	지금은 우리가 사형을 폐지할 때이다.
Abolish them and stop the waste.	그들을 버리고 낭비를 줄여라.
Why do you want to abolish it?	당신은 왜 이것이 폐지되기를 원하십니까?
Please use the access road behind the building.	그 빌딩 뒤에 있는 진입로를 이용하세요.
You don't have enough permissions to access the network.	네트워크를 액세스할 사용 권한이 없습니다.
Access to drinking water is increasing.	식수에 대한 접근이 늘어나고 있다
Your actions are not in accordance with common sense.	너의 행동은 상식에 어긋난다
You should behave in accordance with your station in life.	분에 맞게 행동해야 한다
The teams played the game in accordance with the rules.	그 팀들은 규칙을 준수하면서 게임에 임했다.
Just do it according to the plan.	계획에 따라서만 행동해라.
According to the table, what is the area of Manitoba?	이 도표에 따르면 매니토바의 면적은?
According to the autopsy report, no.	부검 보고서에 따르면, 그건 아니다.
Do not accuse me of that.	그것에 대해 나무라지 마세요.
I don't want to accuse them.	난 그들을 고소하고 싶지 않다.
I don't want to just accuse her.	전 그녀를 단지 비난하는 것을 원하지 않아요.
That glue does not adhere to the wall.	그 접착제는 벽에 잘 붙지 않는다.
You have to adhere to the laws of this state.	당신은 이 주의 법을 지켜야 해요.
It is our wish to adhere to the existing rules.	이는 기존 규칙을 고수하기 위한 우리의 바람이다.
You must obtain approval to build a highrise in this area.	이 지역에 고층 건물을 지으려면 승인을 얻어야 한다.
The plan is subject to your approval.	이 계획은 귀하의 승인을 요합니다.
He used to act before asking for approval.	그는 사전 승인을 받지 않고 일을 처리하곤 했다.
It's off limit to the public at all times.	일반인에게는 항상 출입이 금지되어 있습니다.
I stay indoors at all times.	언제나 방구석에 박혀 있다
Work with your partner at all times.	항상 짝과 함께 일하라.
I don't think jeans are appropriate attire for the party.	청바지는 파티 의상으로 부적절하다고 생각한다.
Are you looking for business attire?	정장을 찾고 계신가요?
When you work here, you will wear proper work attire.	당신이 이곳에서 일할 때, 특수한 작업복을 입어야 할 것이다.
You need a warrant of attorney if you want to do this.	당신이 이것을 하려고 한다면 소송 위임장이 필요합니다.
My attorney handles taxes and estates, and he's quite good.	내 변호사는 세금과 부동산 전문인데 꽤 유능해요.
Why does she need an attorney?	왜 그녀가 변호사를 필요로 합니까?
authorize a person to act for one	아무에게 자신을 대신할 권한을 주다.
I can authorize payments up to Â£5,000.	5 000파운드까지는 내가 지불을 재가할 수 있어요.
I did not authorize my daughter to leave Juneau.	나는 딸이 주노를 떠나는 것을 허가하지 않았다.
circumscribe a circle about a triangle	삼각형 주위에 원을 외접시키다.
It is therefore necessary to circumscribe market forces.	그러므로 시장 지배를 제한할 필요가 있다.
In no sense was I seeking to circumscribe the relief solely to those people.	그 사람들만 세금감면을 할 수있게끔 제한하자는 것은 결코 아니었다.
Please reenter your personal code number.	비밀번호를 다시 입력해 주세요.
I need part of a code.	나는 부분의 코드가 필요해.
Please enter your personal code number.	비밀번호를 입력하세요.
People have been far too willing to comply.	사람들은 너무나 기꺼이 이에 응해왔습니다.
The judge ordered us to comply.	심판은 우리에게 지시를 따를 것을 명령했다.
But, anyway, I don't intend to comply.	하지만 어쨋든 나는 따를 생각이 없다.
That does not concern[regard] me at all.	그것은 나와는 전혀 무관하다
Don't concern yourself too much about it.	그것에 너무 신경 쓰지 마세요.
Do not concern yourself about me.	신경쓰지마 쫌
Who has custody of the children?	아이들의 양육권은 누가 가지고 있어요?
Parents have the custody of their young children.	부모는 어린 자녀에 대한 양육권이 있다.
He is being held in custody.	그는 감금되어 있다.
The new law is in effect as of tomorrow.	그 새 법은 내일부터 실시된다.
The general effect of this picture appeals to me.	이 그림은 전체적인 감이 좋다
They used it to great effect.	그들은 그것을 아주 효과적으로 사용했다.
enforce a course of action (up)on a person	남에게 어떤 행동 방침을 강요하다.
What you cannot enforce, Do not command.	당신이 실행할 수 없는 일을 남에게 명령하지 말라.
There is no way for the police to enforce it.	경찰은 이 법을 실행할 수가 없다.
There is no law without exception.	예외 없는 법칙은 없다.
By way of exception, I don't have to finish this work.	예외로서, 나는 이 일을 끝내지 않아도 된다.
This situation is the exception rather than the rule.	이 경우는 이례적인 것이다
Request the information letter in due form.	정식으로 정보를 요청하세요.
Please fill out this registration form.	이 등록신청서 좀 작성해 주세요.
Please fill in this registration form.	입장 등록 카드에 기입을 해 주십시오.
Her heart is full of fraud.	그녀의 마음은 기만으로 가득 차있다.
U want, we start working fraud.	너는 원하지, 우리가 사기 치기를
That you're saying i'm a fraud on your show!	내가 사기꾼이라고 너의 쇼에서 넌 말하고 있는 것이냐!
cure a person of a bad habit	남의 나쁜 버릇을 고쳐 주다.
I kicked the habit about 5 years ago.	난 약 5년전에 마약을 끊었어요.
Promise me that you will shake your habit.	나쁜 버릇 고치겠다고 약속해.
He will finish the report immediately.	그는 보고서를 즉시 끝낼 것이다.
Please contact his family members immediately.	즉시 그의 가족들에게 연락해 주세요.
But I didn't decide it immediately.	하지만 나는 바로 결정하진 않았어.
Any infringement of the law shall be punished with a fine.	그 법률을 어기는 자는 벌금형에 처해진다.
infringement of the principle of press freedom	출판의 자유라는 원칙의 침해.
This is not a minor infringement.	이것은 경범죄가 아닙니다.
He now works with Congress on a land-mine legislation.	그는 현재 미국 의회 의원들과 함께 지뢰관련 입법을 추진하고 있다.
They did not count proposed legislation.	그들은 제안된 법규를 고려하지 않았어.
I'm telling you what recent legislation says.	나는 최근에 법률안에 대해서 너에게 말하고 있다.
His claim to be promoted to the post was quite legitimate.	그 자리로 진급시켜 달라는 그의 요구는 아주 정당한 것이었다.
She has a legitimate concern about her daughter's health.	그 여자는 딸의 건강을 걱정할 만한 합당한 이유가 있다.
Absolute alibis provides a legitimate cover.	완벽한 알리바이는 합법적인 커버를 제공한다.
Does that include the spend on litigation?	그것이 소송 관련 비용을 포함하니?
We are not a litigation firm.	우린 법률회사가 아닙니다.
We are back to the litigation issue again.	우리는 그 소송문제로 다시 돌아갔다.
The observance of Independence Day includes fireworks.	독립 기념일 행사에는 불꽃놀이가 포함되어 있다.
Observance of the law is a matter of principle for us.	우리가 법을 준수하는 것은 원칙에 관한 문제이다.
a strict observance of the Sabbath	엄격한 안식일 준수
The people sent in a petition for his life.	국민은 그의 구명을 탄원했다
The signers attached their names to the petition.	서명자들은 청원서에 이름을 적었다.
The woman is signing her friend's petition.	여자가 친구의 진정서에 서명하고 있다.
What change in the library? policy is stated in the notice?	이 공에는 도서관 정책의 어떤 변화가 언급되었는가?
Are all the members of my family covered under this policy?	제 가족 구성원들 모두가 이 보험에 적용이 되나요?
My new job offers a great health insurance policy.	새 직장에서는 아주 좋은 의료 보험을 제공한다.
It is just a matter of procedure.	그것은 단지 절차상의 문제이다
The third issue relates to procedure.	그 세번째 이슈는 절차과 관련있다.
But the procedure retains its supporters.	그러나 그 순서가 그 지지대들을 남게 하였다.
So the devil won't close the churches and prohibit religion?	따라서 악마는 교회를 폐쇠하고 종교를 금지하지 않을 것이다.
Florida is among 38 states that prohibit same-sex unions.	플로리다는 동성간의 결합을 금하는 미 38개주 중 하나다.
The Bill could prohibit that activity.	빌은 이행사를 중지시킬수있어.
Your job is to prosecute crime.	당신의 직업은 범죄를 기소하는 것이다.
I don't know if I can prosecute, but I think I can.	나는 내가 고소할 수 있을지 없을지 알지 못하지만 나는 할 수 있다고 생각한다.
As attorney general, it's my job to prosecute.	법무부 장관으로서, 기소하는 것이 내 일이다.
Please refrain your action without system.	당신의 조직적이 아닌 행동을 삼가 주십시오.
We shall refrain from entering into further detail.	더 이상 자세히 들어가지는 않겠습니다.
If she returns, refrain from contact.	만약 그녀가 돌아온다면, 만남을 삼가해라.
I'm sorry, but regulation is a regulation, you know.	죄송하지만 규정은 규정입니다.
I am sorry, but a regulation is a regulation, you know.	죄송하지만, 알다시피 규정은 규정입니다.
The regulation have been tightened up recently.	규칙이 최근에 엄하게 됐다
Why do they want to restrict foreign investment?	왜 외국인 투자를 규제하려고 하죠?
In some nations, however, labor laws restrict the practice.	그러나 일부 국가에서는 이러한 관행이 노동법으로 금지되어 있다.
restrict the currency of bank notes	지폐의 유통을 제한하다.
I advise you to leave the student's problems severely alone.	나는 당신에게 학생들의 문제에 애써 간섭하지 말라는 조언을 해준다.
Man, I am freaking out so severely.	이봐, 내가 너무 심하게 흥분하고 있어.
Hundreds of people are severely ill.	수백명의 사람들이 심하게 아프다.
The standard loan period is 21 days.	보통 빌려주는 기간은 21일이다.
Shares in Standard Chartered fell 2.5% in London trading.	런던 증시에서 스탠다드차터드은행 주가는 2.5% 하락했습니다.
The compact is 29 dollars per day, the standard is 39.	소형은 하루에29달러이고 중형은39달러입니다.
a man who is thoroughly alive	매우 활발한 사람.
Read it over and understand it thoroughly.	몇 번이고 다시 읽어서 완벽하게 이해하거라.
It's been tested as thoroughly as any product has ever been.	어느 제품보다도 더 철저히 시험을 거쳤습니다.
I did not violate our agreement.	나는 우리의 협약을 위반하지 않았다.
Theyre ready to violate the law.	그들은 법을 어길 준비가 되었다.
Like when you violate his law?	당신이 그의 법을 어겼을때 처럼?
I am accustomed to your long hair.	긴 머리의 너를 보는 게 익숙해져 있어.
They're accustomed to the rigors of army life.	그들은 고된 군 생활에 익숙해 있다.
People in Dallas are accustomed to hearing these things.	Dallas에 있는 사람들은 이런 것들을 듣는 데 익숙하다.
Acquaint yourself with the new work.	새로운 일에 정통하여라.
acquaint a friend with one's efforts	친구에게 자신의 수고를 알리다.
Let me acquaint you with the facts of the case.	그 사건과 관련된 사실들을 알려 드리지요.
Our New York-based company has an affiliate in Atlanta.	뉴욕의 우리 회사는 애틀란타에 지사를 가지고 있다.
affiliate a child to a parent	아이의 아비임을 확인하다.
My store is an AB card affiliate.	저희 가게는 AB카드 가맹점입니다
I have never missed a day (of attendance) in the past year.	나는 지난 1년 동안 하루도 결석한 일이 없다
She was in attendance at the party.	그녀는 파티에 참석했다.
He is irregular in his attendance at the office.	그는 결근을 잘한다
Please check in at least one hour before departure time.	늦어도 출발시간 한 시간 전에는 탑승수속을 해주십시오.
I need to cash a check, please.	수표를 현금으로 바꾸려고요.
Please check in at least 45 minutes before departure time.	최소한 출발시간 45분 이전에 오셔서 탑승권을 받으시기 바랍니다.
These days my colleague looks really depressed.	요즘 내 직장 동료의 기분이 영 안 좋아 보여요.
Do not talk about my colleague.	나의 동료에 관해서 이야기하지 마라.
I don't want to trash your new colleague.	나는 당신의 새로운 동료를 망가뜨리고 싶지 않다.
He can never concentrate upon his work.	그는 자기 일에 정신을 집중하지 못하는 사람이다
Shut up and let me concentrate.	나좀 집중하게 닥쳐
It is interfering with my ability to concentrate on my work.	제 집중력을 방해해요.
condense a gas to a liquid [vapor into water]	기체를 액체로[수증기를 물로] 응축시키다.
condense rays of light on an object	광선을 어떤 물체에로 모으다.
Facts, details, condense, plot, tell it.	사실을, 세밀하게, 요약시켜, 구성에 맞게  말하세요.
So far Curiosity has discovered many conglomerate rocks.	여태까지 큐리오시티호는 많은 퇴적암들을 발견했다.
I think people understand it's a conglomerate.	나는 사람들이 그것을 대기업으로 이해하는것 같다.
KARMAZIN: I think GE is a conglomerate.	KARMAZIN: GE는 대기업인 것 같아.
I will convey the information to him.	그 소식을 그에게 전하지요.
Wires are used to convey electricity.	와이어는 전기를 통하게 하는 데 사용된다.
I'll be sure to convey your thoughts to him.	네 생각을 그에게 확실하게 전달해줄께.
What is true of the Deebay Shippin Corporation?	디베이 운송사에 대한 설명으로 옳은 것은?
What is the purpose of the Land Corporation?	랜드 법인의 목적은 무엇인가?
Yes, it says "Christie Corporation, correspondence."	네, "크리스티사, 통신서류"라고 써 있어요.
The Canadian delegate offered no reply.	그 캐나다 대표는 어떤 답변도 내놓지 않았다.
I heard you've been promoted to a delegate.	나는 당신이 대표자로 승진했다고 들었어요.
He won the delegate count at the end of the day.	하루가 끝날 무렵, 그는 대표를 뽑는 투표에서 당선되었다.
Every single day was quite demanding too.	매일매일이 아주 힘들었습니다.
Demanding things and leaving like this.	이것저것을 요구하고 이렇게 떠나다니.
Hey, it's not like it's a demanding job over there.	이봐, 저쪽에 일은 힘들게 보이지는 않아.
The money will be deposited directly into your bank account.	당신의 은행 계좌에 곧바로 입금될 것입니다.
I want to speak to the landlord directly.	집주인과 직접 이야기하고 싶습니다.
I really want to speak to her directly.	그녀와 꼭 직접 통화하고 싶어요.
The team members wanted to win their division.	팀원들은 그들이 출전한 등급에서 우승하기를 원했다.
An example of division is "4 divided by 2 equals 2.	나누기의 예는 "4 나누기 2는 2"와 같은 예이다.
I need a channel to division main.	그러지 않아도 돈이 없어 걱정이었는데
Our old copy machine works as efficiently as a new one.	우리의 낡은 복사기는 새 복사기 못지 않게[새 복사기만큼] 효율적으로 작동한다.
She finished off her work efficiently.	그녀는 척척 일을 끝냈다
That is one way of using energy sources efficiently.	그것은 에너지를 효율적으로 사용하는 한가지 방법이다.
They will try to jam the transmissions electronically.	그들은 전송되는 내용에 대해서 전파 방해를 시도할 것이다.
Then, the signals were sent to the robot electronically.	그 다음에는 로봇에게 전기 신호가 보내졌다.
Passengers can now be ticketed electronically.	승객들이 이제는 컴퓨터로 표를 발급받을 수 있다.
What is the extension for the IT department?	IT부의 내선은 몇 번인가?
an extension of leave of absence	휴가의 연장.
I'm working on the factory extension.	난 그 공장 확장공사장에서  일하고있어.
I'll have the military authority follow up on it.	군 당국이 그것에 대한 후속조치를 취하도록 하겠소.
Isn't there a way we can follow up on this?	우리가 이것에 대한 후속조치를 취할 수 있는 방법이 있지 않을까요?
Leads are something that cops follow up on.	경찰들은 단서에 대해 후속조치를 취한다.
I feel that some disaster is impending.	재난이 임박한 것 같은 예감이 든다.
I feel that some disaster is impending.	어쩐지 재난이 닥쳐올 듯한 예감이 든다.
At this time, war with Japan was impending.	이때, 일본과의 전쟁이 임박했다.
Speak no ill of one in one's absence.	남이 없는데 욕하지 말라.
in one's absence	부재중에; 사람이 없는 곳에서.
The meeting was a triumph in one's success.	모임은 대성공이었다.
We asked him to confirm his acceptance in writing.	우리는 그의 승낙을 문서로 확인해 줄 것을 요청했다
The great poet, in writing himself, writes his time.	위대한 시인은 자기 자신에 대해 씀으로써 그 시대를 표현한다.
I'll confirm it later in writing.	제가 나중에 서면으로 확인해드리겠습니다.
instruct a person to do something	남에게 무엇을 하라고 지시하다.
There are many other ways to instruct them.	학생들을 교육하기 위한 다른 방법들도 많이 있어.
We must do as they instruct.	우리들은 그들이 지시한대로 해야한다
Various circumstances are involved in this matter.	이 문제에는 갖가지 사정이 얼기설기 얽혀 있다
The staff members involved were dismissed.	관련된 직원들은 해고되었다.
Large groups of people are involved.	많은 집단의 사람들이 참여했다.
I'll try to manage on my own.	나 혼자 하려고 노력할 거야.
How does the speaker suggest people manage their e-mail?	말하는 이는 사람들에게 이메일을 어떻게 관리하라고 조언하는가?
He didn't manage to talk her round.	그는 그녀를 설득하려고 노력하지 않았다.
To whom was this memorandum issued?	이 공문은 누구에게 송부된 것인가?
When does the memorandum say the team will begin practicing?	이 메모에 의하면 팀은 언제 연습을 시작할 것인가?
According to the passage, who is sending the memorandum?	위 지문에 따르면 회람을 보낸 사람은?
Then we would notify you of the starting time.	그때 근무일도 통지해 드리겠습니다.
I'll notify you as soon as things are set.	일정이 확정되는 대로 알려 드리겠습니다.
They would have no reason to notify you.	그들이 너에게 통고할 이유는 하나도 없다.
dismiss a case on one's own motion.	사건을 철회하다.
set oneself up on one's own legs	혼자 독립하다.
There is only so much one can do on one's own.	혼자서 할 수 있는 일은 딱 그 정도다.
Oversee maintenance of accurate new item information.	신규 상품 정보가 정확히 관리되는지 감독한다.
A team leader was appointed to oversee the project.	그 사업을 감독하도록 팀장이 임명되었다.
Call in an architect or engineer to oversee the work.	건축 기사나 엔지니어를 불러서 작업을 감독하게 하세요.
The business has the watchful supervision of the proprietor.	그 업무는 사업주(主)가 면밀(綿密)하게 관리(管理)하고 있다.
the proprietor of a local restaurant.	한 현지 음식점 소유주
By law, it belongs to the proprietor.	법에 의해, 그것은 소유주에게 속한다.
What about the quarterly marketing report?	분기별
Quarterly earnings are seldom reported to the shareholders.	각 분기별 수익은 주주들에게 거의 보고되지 않는다.
It's compounded at a quarterly rate of 8.5%.	이자는 복리로 계산되는데 3개월 이자가 8.5%입니다.
They need a release, a chance to celebrate.	그들은 축하할 기회인 대중에게의 발표가 필요하다.
The record release was tonight, wasn't it?	오늘밤 그 앨범이 발매될거야, 맞지?
Help me to release this demon.	내가 이 악마를 해방시키도록 도와줘.
I needn't remind you that two lives have already been lost.	이미 두 목숨을 잃었다는 걸 상기시켜줄 필요는 없겠지.
I don't like to remind her.	나는 그녀을 기억하기 싫어
Doesn't it remind you of that a bit?	그것이 너에게 상기시켜주지 않니?
Request the information letter in due form.	정식으로 정보를 요청하세요.
request the return of the money	돈을 갚기를 요구하다.
We sent you the information at your request.	저희는 당신의 요청에 의해 정보를 보내드렸습니다.
a system in need of revision	검토가 필요한 시스템
Study on the revision of HDD for 15 District Areas of Korea	국내 주요지역의 난방도일 재산정에 관한 연구
School foundations challenge this revision plan.	학교 재단은 이런 개정 계획에 이의를 제기한다.
I wish to submit a loan application.	대출 신청서를 내고 싶습니다.
I don't like to submit to mere implication.	미미한 결과를 제출하고 싶지 않아.
Submit your guesses in comments below.	아래 코멘트란에 당신의 의견을 입력해주세요.
Ever have a subordinate do anything like this?	하급자들이 이런 짓을 하는 것은요?
Development policy is not subordinate to other policies.	개발 정책은 다른 정책들에 종속적이지 않다.
The games became subordinate to the quest for money.	이 게임은 돈을 위한 퀘스트에 종속적이게 된다.
Weâre starting up a subsidiary in Texas.	텍사스에 자회사가 하나 생길 예정인데요.
He sold books as a subsidiary occupation.	그는 보조 직업으로 책을 팔았다.
WM Financial Services is a subsidiary of Washington Mutual.	WM 재무 서비스는 워싱턴 상호기금의 자회사이다.
The book was compiled under the supervision of Dr. Kim.	그 책은 김 박사 감독하에 편찬되었습니다.
Some have no adult supervision at all.	일부는 어른의 감시를 전혀 받지 않고 있다.
Small children should not be left alone without supervision.	어린 아이들은 감독 없이 혼자 내버려 둬서는 안 된다.
When can you finish the translation?	언제 이 번역을 마칠 수 있습니까?
You can teach part-time or do some translation work.	당신은 아르바이트로 가르칠 수도 있고, 번역 일을 할 수 있어요.
There are some translation problems here.	여기 약간의 번역 문제가 있습니다.
Iâd accomplish so much more that way.	저도 그런 식이라면 많은 일을 처리할 수 있겠어요.
What do you hope to accomplish?	오늘 어느 정도까지 선전하고 싶으십니까?
